,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,totals,weekday,Start_Lon_mean,Start_Lat_mean,End_Lon_mean,End_Lat_mean,Start_Lon_std,Start_Lat_std,End_Lon_std,End_Lat_std,Start_Lon_meanAM,Start_Lat_meanAM,End_Lon_meanAM,End_Lat_meanAM,Start_Lon_stdAM,Start_Lat_stdAM,End_Lon_stdAM,End_Lat_stdAM,Start_Lon_meanPM,Start_Lat_meanPM,End_Lon_meanPM,End_Lat_meanPM,Start_Lon_stdPM,Start_Lat_stdPM,End_Lon_stdPM,End_Lat_stdPM
10,2016-06-11,722,387,268,195,128,100,269,583,1066,1777,2481,3106,3477,3312,3395,3214,3078,3035,2827,2420,1772,1344,1079,995,41030,5,-73.98637410338351,40.73568290098911,-73.98659254678947,40.73537466855182,0.01729020305306122,0.023995608920709517,0.017257842640251146,0.02383369691755001,-73.98569738841175,40.73767673287404,-73.98738798516733,40.73735993446447,0.01700936032314552,0.02422933492406283,0.016412292479684884,0.023307866409084613,-73.98714351686584,40.735288251334865,-73.9867026527487,40.735101083910436,0.017292074492684932,0.024170849978709042,0.01720991011505519,0.02389398008509222
11,2016-06-12,685,463,325,229,136,85,198,444,794,1420,2132,2893,3153,3354,3541,3568,3378,3613,3257,2754,1939,1041,729,506,40637,6,-73.98646746643281,40.73529165900119,-73.98665090450775,40.73493296623965,0.017384758670466332,0.024089538252434785,0.01740794266121614,0.024075548405789002,-73.9856034306118,40.73684346712268,-73.9874133876372,40.73685376079429,0.017012671421914063,0.024058403277269862,0.016246976515587153,0.02374021873561334,-73.98735101703555,40.73547726132068,-73.98690050545974,40.73518445402235,0.017141988108001115,0.02404822011702177,0.01734123699737983,0.02377369928979957
12,2016-06-13,240,113,48,29,42,300,1260,2721,4730,3294,1806,1775,2055,2290,2386,2493,3188,5650,5414,3645,2465,1491,986,648,49069,0,-73.98735873592928,40.73753225269978,-73.9857791987408,40.73657803633503,0.01600297675129644,0.022072730122729745,0.33439229526129377,0.1852326544381801,-73.9856900672782,40.73689044594898,-73.98871682972563,40.737143182035425,0.015919308979476573,0.02276805795603226,0.015406116681246482,0.020641734221748382,-73.98853576037581,40.737638858749754,-73.98249807542987,40.73565406457554,0.01592392123774285,0.02146387038224478,0.5532914034038116,0.30535509539655065
13,2016-06-14,372,132,71,44,71,331,1478,3226,5261,3767,2038,1876,2320,2455,2487,2583,3417,5737,5890,4166,2916,1973,1366,836,54813,1,-73.98717426930737,40.737776642742055,-73.98716199944433,40.73756772378885,0.016057401469238668,0.02237410134458271,0.01615733252856157,0.022531699583699917,-73.98518494817253,40.73711990263315,-73.9887806606172,40.73666592104856,0.01620804031784638,0.023119259085646902,0.015442869931699504,0.02116616792285762,-73.98860319673292,40.737687106692576,-73.98668075215768,40.738163361623,0.015819854790282847,0.021662321571514362,0.016264018346427715,0.02314383787073544
14,2016-06-15,389,168,82,49,64,345,1479,3125,5498,3798,2085,2032,2342,2412,2473,2642,3286,5868,6008,4002,2566,1899,1543,894,55049,2,-73.98706618438224,40.73801904592602,-73.98580540374157,40.736994306956674,0.016074841696572688,0.02246400597081037,0.315757089009797,0.1750722706839726,-73.98520772464718,40.73770012218998,-73.98865997094225,40.73717560319785,0.016207672143407542,0.02349628504712649,0.015637222025238737,0.021078661978415597,-73.98828548027053,40.73813527402182,-73.98262269509995,40.73643378291842,0.015741420288390446,0.02167089646029744,0.5347004721521376,0.2951894557051585
15,2016-06-16,446,220,101,47,56,291,442,1195,3595,3465,2028,1734,2074,2183,2130,2383,3028,5231,5157,3677,2571,1774,1355,1015,46198,3,-73.98734651140242,40.73736146901491,-73.98726418349625,40.73716395759918,0.015810332666686796,0.02206461958905188,0.01593440499348176,0.022135437235221298,-73.98500518466987,40.737983297443016,-73.98844905795274,40.73703894658078,0.01591764168352764,0.023490491329706698,0.015444115998911191,0.021001694181240742,-73.98867365946667,40.737731883203004,-73.98701518747379,40.73823513821653,0.01548173437598536,0.021407485280462983,0.01595053377961177,0.0225197090531251
16,2016-06-17,623,217,126,70,71,298,1222,2639,4758,3650,2185,2330,2799,2918,3158,3485,4286,5568,4681,3295,2267,1557,1110,923,54236,4,-73.98705909388619,40.73773509536255,-73.98722719342588,40.73746120136977,0.016345428720621998,0.02272080638437404,0.016357514698721848,0.0225931293364866,-73.98484677804525,40.73817585666993,-73.98816252954269,40.73720329564912,0.016348846712237526,0.023882616377487988,0.015841228949625023,0.021391160248941492,-73.98842706750352,40.73716574726339,-73.98715077619048,40.73749769140193,0.016294536069753732,0.0222347549549472,0.016469219260130633,0.02317863640665784
17,2016-06-18,654,413,259,209,88,105,298,614,1142,1855,2579,3297,3726,3959,4020,4136,4145,4056,3710,3204,2340,1618,1358,1116,48901,5,-73.98667525390674,40.73582962307774,-73.98537719533276,40.73467959749817,0.017604817632970785,0.024620535206872084,0.3350398876355701,0.18582993472601084,-73.98566462038424,40.73665337293233,-73.9871837637345,40.73600046639874,0.016830320663279143,0.02383093299797351,0.016492734799725236,0.02299938084880165,-73.98744866664082,40.735896053408155,-73.98722142976683,40.736143823867984,0.017782682941823922,0.024956107043166854,0.01766990282026857,0.02467877285542503
18,2016-06-19,792,489,300,267,146,86,174,471,897,1526,2280,2920,3377,3604,3842,3950,3741,3974,3725,3186,2249,1371,1028,875,45270,6,-73.98684585857892,40.735887905266736,-73.98703812122531,40.73536894457785,0.017674171033046714,0.024973890222643458,0.017649538257971126,0.024902538969368247,-73.98589195075333,40.73736883462002,-73.9873833919118,40.737612030306785,0.017318026396239774,0.023869278413458483,0.016572399058400543,0.023646662380317214,-73.98752606316806,40.735909442493785,-73.98692593279321,40.73560591719357,0.01771933169719174,0.025082564099373896,0.017653301795872066,0.02476267813049105
19,2016-06-20,366,170,86,53,63,328,1408,2744,4778,3361,1938,1767,2101,2305,2389,2584,3326,5740,5791,4206,2877,1893,1238,735,52247,0,-73.98746421160456,40.73739736615929,-73.98727523186648,40.737330835280474,0.016270263896209496,0.022152348454387804,0.016327606652723252,0.02227276043751274,-73.9856480611211,40.73681904978815,-73.98891669212661,40.73671878094128,0.016467457105832736,0.02233435366489944,0.01572579371918149,0.020776471466994337,-73.98883405825094,40.7369894799832,-73.98691570847087,40.737529975399134,0.01602038887625296,0.021572093608401743,0.01634889391141103,0.0226778357754774
